Designator,Mid X,Mid Y,Rotation,Layer
C1,56.0,-83.0375,270.0,top
C2,70.5375,-92.5,0.0,top
C3,69.0375,-119.5,0.0,top
C4,52.5,-136.5375,270.0,top
C5,45.0375,-119.5,0.0,top
C6,46.5375,-92.5,0.0,top
C7,54.5,-109.5375,270.0,top
D1,60.64,-83.0,0.0,top
D2,71.82,-96.5,0.0,top
D3,70.17,-123.5,0.0,top
D4,57.36,-137.0,0.0,top
D5,46.18,-123.5,0.0,top
D6,47.83,-96.5,0.0,top
D7,59.0,-110.0,0.0,top
J3,72.0,-104.46,180.0,bottom
J5,48.0,-103.96,180.0,bottom
